IMPRINT DATE,FileName,TitleUnique?,id,orig language (base),author name,author dates,author transcribed,title catalog,title full,title half,title series,vols,edition trans,pub date,pub date transcribed,pub location,pub transcribed,printer,bookseller,pub notes,format,illustrations,pub cataloger notes,para:preface,para:dedication,para:advertisement,para:to the reader,para:intro,para:note,para:other,para:footnotes,epigraph source transcribed,narrative form primary,narrative form secondary,subscriber list,inscription,marginalia,author claim,author claim type,author gender claim,author gender,advertisement genres,title words:other works,title words:singular nouns,title words:place names,holding institution
1797,Abstract_pr3991_a1_a27_1797.clean.txt,Unique copy of title,59364,eng,,,,"Abstract : a character from life, in two volumes.",,Abstract.,,,,1797,1797,London,"Printed for William Lane, at the Minerva-Press, Leadenhall-Street.",,,,Octavo,,"Paper with heading ""Conditions of the Suffolk Circulating Libra"" [presumably library; paper has been ripped] pasted onto front paste-down endpaper, v.1. Begins: ""Thomas Wells' bookstore, No. 92 Hanover Street. Subscribers are entitled to the use of four duodecimo or two octavo volumes at a time, by paying..."" | Paper with heading ""Tremont Library. Tudor's Buildings, No. 24 Court-St. Boston."" pasted onto front paste-down endpaper, v.2, apparently obscuring another paper. Text begins: ""Terms. Subscribers, by paying in advance for the period of... will be entitled (for their own use,) to the loan of three volumes at one time."" | University of Pennsylvania bookplate on front free end paper, v.1-2. | Library marginalia on back free end paper, v.1-2.",,,,"The first chapter is a letter to the reader. Transcription: ""Courteous reader, As a prefatory chapter is a point of etiquette which no polite authors should omit...""",,,,"On pp. 139, 163, and 169.", | Rousseau,Epistolary,,,,TRUE,,,,,,,Abstract,,PU
1790,Wreath_pr3991_a1_W74_1790.clean.txt,Unique edition of title,105751,eng,,,,"The Wreath of friendship, or A return from India : a novel, in a series of letters : in three volumes.","The wreath of friendship; or A return from India. A novel, in a series of letters. In three volumes. Vol. I.",,,,,1790,1790,London,"Printed for William Lane, Leadenhall-Street.",,,,Duodecimo,,"An epistolary novel. | Not in Blakey, D. Minerva Press. | Advertisements: v. 1, p. [xi]-[xii]. | Library marginalia on front fly paper and back fly paper, v.1-2, and first page of text, v.3 | University of Pennsylvania bookplate on front paste-down endpaper, v.1-3. | Bookplate reading ""Levina Foster"" on front paste-down endpaper, v.1-2.","Transcription: ""It may perhaps be thought remarkable, that the editor of a novel should be the very person to decry such performances.""","Transcription: ""To Mrs. Montague, whose elegant pen and polite accomplishments render her the patroness of the ladies, the following letters are respectfully inscribed.""",,,,,,"On p. 119. Transcription: ""A late writer compares it ['old-maidism'] to a blighted tree upon an open common.""",,Epistolary,First-person,,TRUE,TRUE,,,,,Fiction,,Wreath,India,PU
1789,Fortitude_pr3991_a1_t75_1789.clean.txt,Unique copy of title,107624,eng,,,,"The Triumphs of fortitude : a novel, in a series of letters : in two volumes.",The triumphs of fortitude: a novel. In a series of letters. In two volumes. Vol. I.,,,,,1789,1789,London,"Printed for William Richardson, Royal Exchange.",,,,Duodecimo,,"University of Pennsylvania bookplate on front paste down endpaper | Library marginalia on front paste down endpaper, first page of text, and back free endpaper",,,,,,,,"On pp. 135, 144, 147, 212, and 218.",,Epistolary,,,,TRUE,,,,,,,Triumph,,PU
1763,Peregrinations_pr3291_a1_p37_1763.clean.txt,Title not previously digitized,194937,eng,,,,"The peregrinations of Jeremiah Grant, Esq; the West-Indian.","The peregrinations of Jeremiah Grant, Esq; The West-Indian.",,,,,1763,MDCCLXIII,London :,"Printed for G. Burnet, at Bishop Burnet's-head, near Arundel-street, in the Strand.",,,,Duodecimo,,Advertisements: p. [7]-[8] at front. | Errata: p. [1] at end. | Last leaf of the book is cut into what looks like an envelope flap. | Library-related marginalia (call number and Singer-Mendenhall designation) written in pencil on the verso of the penultimate leaf. | Bookworm damage going through the entire book. | Pencil marking on inside of front board indicates that the book was sold for 25 shillings. | Sheet music printed on page 45.,,"""My lord, as the professed design of this work is to entertain and instruct, I cannot possibly fix upon a more proper person for a patron than yourself...""",,,,,TRUE,"Footnotes found on pages: 6, 9, 19, 41, 127, 153. ", | Tacitus,First-person,Letters,,,TRUE,Author (paratext),Generic/Descriptive,,Male,Mixed Genre,,Peregrination,,PU
1767,Pittborough_a6_l32_1767.clean.txt,No,196864,eng,Lady.,,by a Lady : in two volumes.,The history of Miss Pittborough : in a series of letters / by a Lady : in two volumes.,The history of Miss Pittborough. In a series of letters. By a lady. In two volumes.,,,,,1767,1767,London,"Printed for A. Millar, and T. Cadell in the Strand; and J. Johnson and Co. in Pater-noster Row.",,,,Octavo,,"An epistolary novel. | Markings of acid paper having been between page 262 and 263. The shape of the marking is consistent with another acid marking on the final leaf of the book, and indicates that the acid paper was a bookmark. | Has been rebound in marbled paper and leather spine. | Two volumes bound in one book. Pagination discontinuous. | Advertisements facing t. p. of v. 2. | Ink spray on verso of second leaf. | Printer's ornaments between each letter; passage of time demarcated by asterisks (e.g. v. 2 p. 271).",,,,,,,,,,Epistolary,,,,TRUE,Author (text),Generic/Descriptive,Female,,Fiction,,History,,PU
1766,Fugitives_pr3291_a1_f26_1766.clean.txt,No,198171,eng,,,,"The Faithful fugitives, or Adventures of Miss Teresa M----- : in a series of letters to a friend.","The faithful fugitives: or, adventures of Miss Teresa M---. In a series of letters to a friend.",,,,,1766,MDCCLXVI.,London,"Printed for T. Vernor, and J. Chater, at their circulating library, on Ludgate-Hill.",,,,Duodecimo,,"Library-related marginalia. | Bookplate- ""Library of the University of Pennsylvania--The Godfrey F. Singer Memorial Presented by Mr. and Mrs. Jacob Singer"" | ""Eighteenth-Century British Circulating Libraries and Cultural Book History"" by Edward Jacobs mentions Vernor and Chater circulating library partnership.","""As curiosity is natural to the mind of man, and as every thing which tends to excite, without satisfying it, must prove, in some degree irksome, I have thought to proper to give the reader some account how these memoirs fell into my hands.""",,,,,,,, | Steele.,Epistolary,,,,TRUE,Author (text),Generic/Descriptive,Female,Indeterminate,,,Fugitive,,Unauthorized
1768,Triumph_pr3291_a1_t74_1768.clean.txt,Title not previously digitized,198941,eng,,,,"The Triumph of love and beauty, or, The history of Mr. Wallace and his family : in four books.",,The history of Mr. Wallace.,,,,1768,1768,London :,"Printed for Robinson & Roberts, in Pater-Noster-Row.",,,,,,"Each vol. contains 2 books which are signed and paged continuously. | Library marginalia, back paste-down endpaper, v.1 and v.2.",,,,,,,TRUE,,,Third-person,,,TRUE,TRUE,,,,,,,triumph,,PU
1768,Extravagant_pr3291_a6_e35_1768.clean.txt,Title not previously digitized,199113,eng,Editor of the Wanderer.,,by the editor of the Wanderer.,"The happy extravagant, or Memoirs of Charles Clairville, Esq. : in two volumes / by the editor of the Wanderer.","The happy extravagant: or, memoirs of Charles Clairville, Esq. In two volumes. Vol. I. By the editor of the Wanderer.",,,,,1768,MDCCLXVIII,London,"Printed for Francis Noble, at his circulating library in Middle Row, Holborn; and John Noble, at his circulating library in St. Martin's Court, near Leicester-Square.",,,,Duodecimo,,"Library related marginalia; pencil; words and numbers; v.1 and v.2, back paste-down endpaper. | ""Singer-Mendenhall"" stamped in ink, v.1 and v.2, back paste-down endpaper. | Library, Singer-Mendenhall Collection slip with book information, v.1. | Margin, p.v of v.2 Table of contents torn or cut. Text unaffected. | Dedication ironically mocks the convention of dedications: ""Were I disposed, like other dedicators, to give the public a detail of my patron's virtues, I could fill a whole volume with yours; but knowing that you have a very great aversion to flattery, I forbear in complement to your modesty; else might I enumerate a long train of ancient perfections, and disinterested virtues, which you inherit from your ancestors, and which of late, indeed, I believe Nobody has laid a just claim to[...]When all my friends dropped from my side, you generously stood by me; and it is to you, alone, that I owe, at present (under heaven), my rank, as an author, and my very existence, as a man."" (v-vi). | Dialogue indicated by single quotation marks. | Character names occasionally abridged with dashes or asterisks, i.e.: ""Lord V-----"" (p.226) and ""the marchioness of R***"" (p.227). | Narrative ends with reference to textuality of the work: ""If his adventures have appeared in any ways striking, they may perhaps, in some measure, prove useful also; according to that well-known maxim, by which men sometimes make the experience of others their own. If this should be the case, and if any one should find himself profitably amused, while he peruses these sheets, the intent of the editor will not be entirely frustrated, nor will he deem the time bestowed on the work wholly thrown away.""",,"""Most respectable sir, At a time, like this, when literary productions are so cheap, and literary merit is so much disregarded, you will permit me to lay at your feet this little piece; in favour of which, I promise myself to meet with your patronage and protection.""",,,,,TRUE,, | Hor.,Third-person,Letters,,,TRUE,Author (text),Reference to other works,Indeterminate,Unknown,Fiction,Wanderer,Extravagant,,PU
1769,Wife_pr3291_a1_m595_1769b.clean.txt,No,200026,eng,,,,"The Modern wife : a novel, in two volumes.",The modern wife. A novel. In two volumes. The second edition. Vol. I.,,,,The second edition.,1769,MDCCLXIX.,"London,","Printed for T. Lowndes, at no. 77, in Fleet-Street.",,,,Duodecimo,,"First edition published in 1769. | Library-related marginalia; pencil; words and numbers; verso back free endpaper; v.1 and v.2. | Bookplate located front paste-down endpaper, v.1 and v.2--""E. L. & H. Lloyd."" | Bookplate located recto front free endpaper, v.1 and v.2--""Er[x?] libris T. Witton Davies."" Words written in what seems like the Cyrillic alphabet printed beneath T. Witton Davies. | Lacking sufficient information to determine identity of H. Lloyd--author (bookplate)-- and authorize through VIAF. E. L. Lloyd--author (bookplate)-- likely Eliza L. Lloyd of ink inscription. | Dialogue indicated by double quotation marks and dashes. | Names truncated and anonymized with dashes, i.e.: ""Lady G---"" (p.43, v.1).",,,,,,,,,,Epistolary,,,TRUE,TRUE,,,,,Mixed,,Wife,,PU
1747,Familiar_pr3459_f3_f3_1747.clean.txt,No,260699,eng,"Fielding, Sarah,",1710-1768.,by the author of David Simple ; in two volumes.,"Familiar letters between the characters in David Simple, and some others : to which is added, A vision / by the author of David Simple ; in two volumes.","Familiar letters between the principal characters in David Simple, and some others. To which is added, a vision. By the author of David Simple. In two volumes. Vol. I.",,,,,1747,1747,London :,"Printed for the author and sold by A. Millar, opposite Katharine-Street in the Strand",,,,Octavo,,"Published anonymously. By Sarah Fielding. Cf. Halkett & Laing (2nd ed.) | Sequel to: The adventures of David Simple. | Letters XL-XLIV are by Henry Fielding. | List of subscribers: v. 1, p. xxiii-xlviii.",TRUE,,,,,,,,,Epistolary,,TRUE,TRUE,,Author (text),Reference to other works,Indeterminate,,,,letter | letter,,University of Pennsylvania
