FileName,ImprintDate,Author,Title,PubLocation,PubControlled,CirculatingLibrary,NarrForm,Unique,AuthorType,AuthorClaimType,ENDID,Pages
Alicia_pr3991_a7_l67_1791.txt,1791,Anon,Frederick and Alicia,London,Couch and Laking,FALSE,Epistolary,Unique,Unknown,Reference to other works,6436279,454
Aurea_pr3291_a1_m5.txt,1720,Anon,Miscellanea aurea:,London,Bettesworth,FALSE,Epistolary,No,Unknown,Proper name,300954,319
Brothers_pr3291_a6_p43_1730.txt,1730,Anon,"The Brothers, or, Treachery punish'd :",London :,T. Payne,FALSE,Part Epistolary,No,Unknown,Generic/Descriptive,1807217,179
Caroline_pr3991_a6_Y676_1787b.txt,1787,Young lady,"Caroline: or, the history of Miss Sedley. By a young lady. In two volumes. ...",Dublin :,W. Sleater,FALSE,Epistolary,Unique,Woman anon,Generic/Descriptive,429935,287
Cassem_pr3291_a1_l561787.txt,1787,Anon,"The Life of Cassem, the son of Hamid, a noble Arabian.ξTranslated from an Oriental manuscript.",Boston,"Boston: Hall, Samuel",FALSE,Third-person,No,Unknown,Character name,431370,49
Cautious_pr3991_a6_y67_1773.txt,1773,Anon,"The cautious lover;ξor, the history of Lord Woburn. By a young gentleman of Oxford. In two volumes. ...",Dublin,James Williams,FALSE,Epistolary,Unique,Unknown,Generic/Descriptive,341350,261
Charles_pr3991_a1_c42_1779.txt,1779,Anon,"Charles; or, the history of a young baronet and a lady of quality. A novel. In two volumes. ...",London,Bew,FALSE,Epistolary,Unique,Unknown,None,341355,482
Clara_pr3291_c52_l47_1771.txt,1771,Anon,"Letters from Clara: or, the effusions of the heart. ...",London :,J. Wilkie,FALSE,Epistolary,Unique,Unknown,Character name,341508,318
Constantia_pr3991_a1_c6643_1769.txt,1769,Anon,"Constantia and her daughter Julia, an Italian history; With a discourse on romances",Dublin,Chamberlaine et al,FALSE,Third-person,Title ND,Unknown,None,1798493,273
Convent_pr3291_a7_a53_1771.txt,1771,the author of Memoirs of Mrs. Williams,Anecdotes of a convent. By the author of Memoirs of Mrs. Williams. In three volumes. Vol. I.,London,Becket and de Hondt,FALSE,Epistolary,No,Unknown,Reference to other works,341336,801
Coxheath_pr3991_a6_l313_1779.txt,1779,Lady,Coxheath-Camp: a novel. In a series of letters. By a lady. In two volumes. Vol. I.,Dublin :;Dublin,"Price, Exshaw et al",FALSE,Epistolary,No,Woman anon,Generic/Descriptive,379664,293
Denouement_pr3991_a6_l316_1781.txt,1781,Lady,"The denouement: or, history of Lady Louisa Wingrove. By a lady.",Dublin :,J Exshaw,FALSE,Epistolary,No,Woman anon,Generic/Descriptive,341393,226
Distress_pr3505_g42_d44_1775.txt,1775,"Griffith, Elizabeth",The delicate distress: a novel. In letters. In two volumes. By Frances. ...,Dublin,T. Walker,FALSE,Epistolary,Unique ed,Woman named,None,341388,350
Duncan_ct788_c2_a3.txt,1732,"[Defoe, Haywood?]",Secret memoris of the late Mr. Duncan Campbell,London;London,J. Millan,FALSE,Part Epistolary,No,Unknown,Character name,266593,267
Example_ec75_a100_778e.txt,1778,Young lady,"The Example, or The history of Lucy Cleveland.",London :,Fielding and Walker,FALSE,Epistolary,No,Woman anon,None,276135,514
Excess_pr3506_h94_a682_1721.txt,1721,"Haywood, Eliza","Love in excess;ξor, the fatal enquiry, a novel. Part the first. By Mrs. Haywood.",London;London,J. Roberts,FALSE,Part Epistolary,Unique ed,Woman named,Proper name,430829,346
Familiar_pr3459_f3_f3_1747.txt,1747,"Fielding, Sarah","Familiar letters between the principal characters in David Simple, and some others. To which is added, a vision. By the author of David Simple. In two volumes. Vol. I.",London :,A. Millar,FALSE,Epistolary,No,Woman named,Reference to other works,260699,776
Felicia_pr3356_c54_f44_1773.txt,1773,"Collyer, Mary","Letters from Felicia to Charlotte;ξcontaining a series of the most interesting events, interspersed with moral reflections; chiefly tending to prove that the seeds of virtue are implanted in the mind of every reasonable being.",London :,J. Rivington et al,FALSE,Epistolary,Unique ed,Woman named,Generic/Descriptive,341519,654
Fortitude_pr3991_a1_t75_1789.txt,1789,Anon,The triumphs of fortitude:ξa novel. In a series of letters. In two volumes. ...,London,William Richardson,FALSE,Epistolary,Unique,Unknown,None,107624,495
Frolics_pr5233_r27_c3_1777.txt,1785,"Rowley, Thomas","The frolics of fancy, a familiar epistle, characteristic of Tristram Shandy, to Charles Reynolds, Esq; by Rowley Thomas.",Shrewsbury :,for author,FALSE,Epistolary,Unique ed,Man named,None,431356,97
HenryVIII_da331_h35_l6_1714.txt,1714,"[Hearne, Thomas?]",Love-letters from King Henry VIII to Anne Boleyn,London,J. Churchill,FALSE,Epistolary,No,Man named,Character name,1812432,72
Interesting_pr3991_a6_l319_1782.txt,1782,Lady,An interesting sketch of genteel life. By a lady. ...,Southampton,Linden & Cunningham,FALSE,Epistolary,Title ND,Woman anon,Generic/Descriptive,341473,487
Labyrinths_pr5178_p66_l3_1791.txt,1791,Mrs. Thompson,"The labyrinths of life.ξA novel. By the author of Excessive sensibility, and Fatal follies. In four volumes. ...",London,J. robinson,FALSE,Epistolary,Unique,Woman named,Reference to other works,430787,1016
Laura_pr3991_a6_y68_1784.txt,1784,Young lady,"Laura and Augustus, an authentic story;ξin a series of letters, by a young lady. In three volumes. ...",Dublin :,Moncrieffe et al,FALSE,Epistolary,Unique ed,Woman anon,Generic/Descriptive,341490,233
